1.7|2020-06-17 04:30:28,654|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-|1890165146|atst.healthcheck.sensors.page-protocols|{"resourceProtocols":"unknown","navigationProtocol":"http/1.1"}|1592368227687|SEN-L15508290|5ce2084f27e7d09fa4bf1829c2894305|browser||
1.7|2020-06-17 04:30:28,654|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-|1890165146|quicksearch.onboarding.tip.notshown|{}|1592368227705|SEN-L15508290|5ce2084f27e7d09fa4bf1829c2894305|browser||
1.7|2020-06-17 04:30:33,711|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-|1890165146|quicksearch.enabled|{}|1592368226269|SEN-L15508290|5ce2084f27e7d09fa4bf1829c2894305|browser||
1.7|2020-06-17 04:30:33,712|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-|1890165146|quicksearch.onboarding.tip.notshown|{}|1592368226716|SEN-L15508290|5ce2084f27e7d09fa4bf1829c2894305|browser||
1.7|2020-06-17 04:31:10,907|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||jiraupgraded|{"setupUpgrade":false}|1592368270907|SEN-L15508290||||
1.7|2020-06-17 04:31:11,770|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||jira.inform.performance.event.BATCHING_JOB_USERS_TO_NOTIFY|{"duration":98,"parameters.eventConsumer":"mailMentionEventConsumer","success":true,"parameters.eventCount":0,"type":"BATCHING_JOB_USERS_TO_NOTIFY"}|1592368271770|SEN-L15508290||inform.performance||
1.7|2020-06-17 04:31:11,771|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||jira.inform.performance.event.BATCHING_JOB|{"duration":115,"parameters.eventConsumer":"mailMentionEventConsumer","type":"BATCHING_JOB","success":true}|1592368271771|SEN-L15508290||inform.performance||
1.7|2020-06-17 04:31:17,876|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.clusteredDatabaseDCOnly.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277876|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,878|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.hsql.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277878|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,878|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.endOfLife.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277878|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,879|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.gadgetFeedUrl.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277879|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,881|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.collation.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277881|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,882|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.databaseConfig.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277882|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,884|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.openFiles.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277884|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,885|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.storageIndexSnapshot.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277885|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,886|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.attachment.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277886|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,887|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.clusterIndexReplication.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277887|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,888|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.clusterLock.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277888|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,889|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.scheduler.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277889|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,890|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.clusterReplication.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277890|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,890|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.clusterNodeTimeSynchronization.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277890|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,891|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.sharedHome.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277891|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,892|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.secondaryAttachment.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277892|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,892|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.secondaryAvatar.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277892|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,892|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.secondaryPlugin.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277892|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,892|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.secondaryIndex.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277892|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,892|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.networkMount.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277892|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,893|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.font.pass.done.scheduled|{"severity":0,"healthy":true,"failureReason":""}|1592368277893|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:31:17,893|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||healthchecks.check.pageProtocols.pass.done.scheduled|{"severity":0,"pluginVersion":"1.24.1","healthy":true,"failureReason":""}|1592368277893|SEN-L15508290||troubleshooting.healthcheck||
1.7|2020-06-17 04:32:11,651|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||jira.inform.performance.event.BATCHING_JOB_USERS_TO_NOTIFY|{"duration":1,"parameters.eventConsumer":"mailMentionEventConsumer","success":true,"parameters.eventCount":0,"type":"BATCHING_JOB_USERS_TO_NOTIFY"}|1592368331651|SEN-L15508290||inform.performance||
1.7|2020-06-17 04:32:11,651|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||jira.inform.performance.event.BATCHING_JOB|{"duration":2,"parameters.eventConsumer":"mailMentionEventConsumer","type":"BATCHING_JOB","success":true}|1592368331651|SEN-L15508290||inform.performance||
1.7|2020-06-17 04:33:11,660|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||jira.inform.performance.event.BATCHING_JOB_USERS_TO_NOTIFY|{"duration":9,"parameters.eventConsumer":"mailMentionEventConsumer","success":true,"parameters.eventCount":0,"type":"BATCHING_JOB_USERS_TO_NOTIFY"}|1592368391660|SEN-L15508290||inform.performance||
1.7|2020-06-17 04:33:11,660|65293aa42f8f53033c9e79d916050001|jira|8.9.0|-||jira.inform.performance.event.BATCHING_JOB|{"duration":9,"parameters.eventConsumer":"mailMentionEventConsumer","type":"BATCHING_JOB","success":true}|1592368391660|SEN-L15508290||inform.performance||
